"","trial","choicesA","choicesB","winA","winB","rateA","learningRate","noise","initRateA","cumulativeRateA","cumulativeRateB","cumulativeWinA","cumulativeWinB","agent_id"
"61",61,1,1,1,0,0.81811066695567,0.206159383291379,0,0.5,0.737704918032787,0.819672131147541,0.721311475409836,0.278688524590164,1
"62",62,1,1,1,0,0.855608859683369,0.206159383291379,0,0.5,0.741935483870968,0.82258064516129,0.725806451612903,0.274193548387097,1
"63",63,0,1,0,1,0.885376448123785,0.206159383291379,0,0.5,0.73015873015873,0.825396825396825,0.714285714285714,0.285714285714286,1
"64",64,0,1,0,1,0.909007168889253,0.206159383291379,0,0.5,0.71875,0.828125,0.703125,0.296875,1
"65",65,1,0,0,1,0.927766194834981,0.206159383291379,0,0.5,0.723076923076923,0.815384615384615,0.692307692307692,0.307692307692308,1
"66",66,1,0,0,1,0.736498488269212,0.206159383291379,0,0.5,0.727272727272727,0.803030303030303,0.681818181818182,0.318181818181818,1
"67",67,0,1,0,1,0.584662414132599,0.206159383291379,0,0.5,0.716417910447761,0.805970149253731,0.671641791044776,0.328358208955224,1
"68",68,1,0,0,1,0.670288154692752,0.206159383291379,0,0.5,0.720588235294118,0.794117647058823,0.661764705882353,0.338235294117647,1
"69",69,1,0,0,1,0.532101962093778,0.206159383291379,0,0.5,0.72463768115942,0.782608695652174,0.652173913043478,0.347826086956522,1
"70",70,1,1,1,0,0.422404149740392,0.206159383291379,0,0.5,0.728571428571429,0.785714285714286,0.657142857142857,0.342857142857143,1
"71",71,0,0,1,0,0.541480954021572,0.206159383291379,0,0.5,0.71830985915493,0.774647887323944,0.661971830985915,0.338028169014085,1
"72",72,0,1,0,1,0.429849574476458,0.206159383291379,0,0.5,0.708333333333333,0.777777777777778,0.652777777777778,0.347222222222222,1
"73",73,0,0,1,0,0.547391434585708,0.206159383291379,0,0.5,0.698630136986301,0.767123287671233,0.657534246575342,0.342465753424658,1
"74",74,0,1,0,1,0.434541554012536,0.206159383291379,0,0.5,0.689189189189189,0.77027027027027,0.648648648648649,0.351351351351351,1
"75",75,1,1,1,0,0.551116118514213,0.206159383291379,0,0.5,0.693333333333333,0.773333333333333,0.653333333333333,0.346666666666667,1
"76",76,1,0,0,1,0.643657742690763,0.206159383291379,0,0.5,0.697368421052632,0.763157894736842,0.644736842105263,0.355263157894737,1
"77",77,1,0,0,1,0.510961659406914,0.206159383291379,0,0.5,0.701298701298701,0.753246753246753,0.636363636363636,0.363636363636364,1
"78",78,0,0,1,0,0.405622118818045,0.206159383291379,0,0.5,0.692307692307692,0.743589743589744,0.641025641025641,0.358974358974359,1
"79",79,1,1,1,0,0.321999312953175,0.206159383291379,0,0.5,0.69620253164557,0.746835443037975,0.645569620253165,0.354430379746835,1
"80",80,1,1,1,0,0.461775516465879,0.206159383291379,0,0.5,0.7,0.75,0.65,0.35,1
"81",81,1,0,0,1,0.572735544063594,0.206159383291379,0,0.5,0.703703703703704,0.740740740740741,0.641975308641975,0.358024691358025,1
"82",82,0,1,0,1,0.454660737510392,0.206159383291379,0,0.5,0.695121951219512,0.74390243902439,0.634146341463415,0.365853658536585,1
"83",83,1,1,1,0,0.567087543549824,0.206159383291379,0,0.5,0.698795180722892,0.746987951807229,0.63855421686747,0.36144578313253,1
