"condition","subject","session","cycle","trial","test","stimulus","category","response","dangerous","nutricious","correct","cumulative","RT","motivation","competence","communication","complement","mean_correct"
1,1,1,3,91,0,"11000.jpg",1,1,0,0,1,6300,2901,1,1,1.5,1,0.84
1,1,1,3,92,0,"11100.jpg",3,3,1,0,1,6400,2809,1,1,1.5,1,0.92
1,1,1,3,93,0,"00010.jpg",2,2,0,1,1,6500,4154,1,1,1.5,1,0.84
1,1,1,3,94,0,"11001.jpg",1,1,0,0,1,6600,3542,1,1,1.5,1,0.92
1,1,1,3,95,0,"11001.jpg",1,1,0,0,1,6700,3097,1,1,1.5,1,0.92
1,1,1,3,96,0,"11111.jpg",4,4,1,1,1,6800,4790,1,1,1.5,1,0.92
1,1,1,0,97,1,"11110pt.jpg",4,3,1,1,0,6800,8667,1,1,1.5,1,0.52
1,1,1,0,98,1,"00101pt.jpg",1,2,0,0,0,6800,13103,1,1,1.5,1,0.68
1,1,1,0,99,1,"00111pt.jpg",2,1,0,1,0,6800,45687,1,1,1.5,1,0.52
1,1,1,0,100,1,"11111pt.jpg",4,1,1,1,0,6800,57337,1,1,1.5,1,0.68
1,1,1,0,101,1,"11011pt.jpg",2,1,0,1,0,6800,76137,1,1,1.5,1,0.68
1,1,1,0,102,1,"01000pt.jpg",1,2,0,0,0,6800,77833,1,1,1.5,1,0.6
1,1,1,0,103,1,"01010pt.jpg",2,2,0,1,1,6800,83886,1,1,1.5,1,0.68
1,1,1,0,104,1,"10101pt.jpg",3,3,1,0,1,6800,72423,1,1,1.5,1,0.76
1,2,1,1,1,0,"01010.jpg",2,4,0,1,0,-100,27156,3,3.5,2.5,1.5,0.28
1,2,1,1,2,0,"10011.jpg",2,3,0,1,0,-200,5453,3,3.5,2.5,1.5,0.24
1,2,1,1,3,0,"01101.jpg",1,1,0,0,1,-100,33397,3,3.5,2.5,1.5,0.68
1,2,1,1,4,0,"00100.jpg",1,2,0,0,0,-200,21412,3,3.5,2.5,1.5,0.48
1,2,1,1,5,0,"10110.jpg",4,3,1,1,0,-300,15765,3,3.5,2.5,1.5,0.32
1,2,1,1,6,0,"10101.jpg",3,3,1,0,1,-200,19214,3,3.5,2.5,1.5,0.56
1,2,1,1,7,0,"01011.jpg",2,2,0,1,1,-100,7039,3,3.5,2.5,1.5,0.64
1,2,1,1,8,0,"00001.jpg",1,1,0,0,1,0,6684,3,3.5,2.5,1.5,0.68
1,2,1,1,9,0,"11101.jpg",3,3,1,0,1,100,21299,3,3.5,2.5,1.5,0.64
1,2,1,1,10,0,"01100.jpg",1,1,0,0,1,200,12264,3,3.5,2.5,1.5,0.56
1,2,1,1,11,0,"10101.jpg",3,3,1,0,1,300,4678,3,3.5,2.5,1.5,0.72
1,2,1,1,12,0,"11001.jpg",1,3,0,0,0,200,21052,3,3.5,2.5,1.5,0.72
1,2,1,1,13,0,"11111.jpg",4,4,1,1,1,300,14002,3,3.5,2.5,1.5,0.8
1,2,1,1,14,0,"10100.jpg",3,3,1,0,1,400,5313,3,3.5,2.5,1.5,0.6
1,2,1,1,15,0,"00011.jpg",2,2,0,1,1,500,5830,3,3.5,2.5,1.5,0.64
1,2,1,1,16,0,"11110.jpg",4,4,1,1,1,600,8973,3,3.5,2.5,1.5,0.68
1,2,1,1,17,0,"11100.jpg",3,3,1,0,1,700,6935,3,3.5,2.5,1.5,0.76
1,2,1,1,18,0,"00010.jpg",2,2,0,1,1,800,4433,3,3.5,2.5,1.5,0.6
1,2,1,1,19,0,"00101.jpg",1,1,0,0,1,900,30385,3,3.5,2.5,1.5,0.72
1,2,1,1,20,0,"00100.jpg",1,1,0,0,1,1000,18594,3,3.5,2.5,1.5,0.56
1,2,1,1,21,0,"01000.jpg",1,1,0,0,1,1100,16004,3,3.5,2.5,1.5,0.56
1,2,1,1,22,0,"01000.jpg",1,1,0,0,1,1200,3955,3,3.5,2.5,1.5,0.68
1,2,1,1,23,0,"01011.jpg",2,2,0,1,1,1300,3526,3,3.5,2.5,1.5,0.76
1,2,1,1,24,0,"10101.jpg",3,3,1,0,1,1400,7273,3,3.5,2.5,1.5,0.6
1,2,1,1,25,0,"00000.jpg",1,1,0,0,1,1500,7616,3,3.5,2.5,1.5,0.72
1,2,1,1,26,0,"01100.jpg",1,1,0,0,1,1600,6216,3,3.5,2.5,1.5,0.64
1,2,1,1,27,0,"01101.jpg",1,1,0,0,1,1700,2978,3,3.5,2.5,1.5,0.72
1,2,1,1,28,0,"10000.jpg",1,3,0,0,0,1600,29042,3,3.5,2.5,1.5,0.6
1,2,1,1,29,0,"10100.jpg",3,3,1,0,1,1700,8568,3,3.5,2.5,1.5,0.8
1,2,1,1,30,0,"00110.jpg",2,2,0,1,1,1800,12020,3,3.5,2.5,1.5,0.72
1,2,1,1,31,0,"11100.jpg",3,3,1,0,1,1900,5052,3,3.5,2.5,1.5,0.64
1,2,1,1,32,0,"11110.jpg",4,4,1,1,1,2000,11563,3,3.5,2.5,1.5,0.64
1,2,1,2,33,0,"10010.jpg",2,4,0,1,0,1900,24781,3,3.5,2.5,1.5,0.68
1,2,1,2,34,0,"11110.jpg",4,2,1,1,0,1800,3510,3,3.5,2.5,1.5,0.76
1,2,1,2,35,0,"01010.jpg",2,2,0,1,1,1900,3537,3,3.5,2.5,1.5,0.8
1,2,1,2,36,0,"11000.jpg",1,1,0,0,1,2000,5396,3,3.5,2.5,1.5,0.84
1,2,1,2,37,0,"10010.jpg",2,2,0,1,1,2100,6709,3,3.5,2.5,1.5,0.8
1,2,1,2,38,0,"00000.jpg",1,1,0,0,1,2200,6521,3,3.5,2.5,1.5,0.76
1,2,1,2,39,0,"11010.jpg",2,2,0,1,1,2300,4237,3,3.5,2.5,1.5,0.72
1,2,1,2,40,0,"10011.jpg",2,2,0,1,1,2400,6324,3,3.5,2.5,1.5,0.92
